Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verfied,User Since,Location,Bio
2/26/16,@UMassHistory,UMass History Dept.,Looking forward to next week: @rebeccaonion lecture on 3/2 and History Communication event on 3/4 https://t.co/MmI6MtH2wS #histcomm,703308686068834307,Twuffer,722,296,0,0,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
2/29/16,@juliegpeterson,Julie Peterson,"Excited for a week of great events @UMassHistory: Writer in Residence w/ @rebeccaonion, conf. w/ @GHAUmass and #HistComm events w/ @umassph",704270541247619072,Twitter for iPhone,239,775,2,9,No,10/26/12,"Amherst, MA","Public History grad student UMass Amherst(@umassph) I study 20th C US, mass incarceration, prison museums. Runner, traveler, museum aficionado, reluctant foodie"
2/29/16,@UMassHistory,UMass History Dept.,"RT @juliegpeterson: Excited for a week of great events @UMassHistory: Writer in Residence w/ @rebeccaonion, conf. w/ @GHAUmass and #HistCom…",704282541654720513,Twitter for Windows Phone,722,296,2,0,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
2/29/16,@GHAUmass,Umass GHA,"RT @juliegpeterson: Excited for a week of great events @UMassHistory: Writer in Residence w/ @rebeccaonion, conf. w/ @GHAUmass and #HistCom…",704313778880565248,Twitter Web Client,68,100,2,0,No,5/28/15,"Amherst, MA","The Graduate History Association is dedicated to building community, facilitating academic progress and offering profesional support to our members."
2/29/16,@monicalmercado,Monica L. Mercado,"@kelcyshepherd A few events this week @UMassHistory - Rebecca on Weds https://t.co/BT3x5GJZbk & #histcomm Friday! Alas, I'll be in Boston.",704319415291138048,Twitter Web Client,2443,901,0,1,No,5/19/12,"Philadelphia, PA",lady scholar & scholar of ladies | current @BrynMawrCollege @GreenfieldHWE #CLIRpostdoc | @colgateuniv-bound | tweeting #wmnhist #histsex #amrel #archives
2/29/16,@JasonSteinhauer,Jason Steinhauer,THIS WEEK we host the first-ever public conversation on history communication. Join us: https://t.co/0GN9MBn6uI #histcomm @UMassHistory,704371191071576066,Twitter Web Client,1302,1315,4,2,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
2/29/16,@UMassHistory,UMass History Dept.,RT @JasonSteinhauer: THIS WEEK we host the first-ever public conversation on history communication. Join us: https://t.co/0GN9MBn6uI #histc…,704371804773740544,Twitter Web Client,722,296,4,0,No,8/18/10,"Amherst, MA",Dedicated to the idea that understanding the past is essential to a free and enlightened citizenry.
2/29/16,@NixoNARA,MK,RT @JasonSteinhauer: THIS WEEK we host the first-ever public conversation on history communication. Join us: https://t.co/0GN9MBn6uI #histc…,704373636292067329,Mobile Web (M5),541,402,4,0,No,12/8/10,,Former NARA Nixon Presidential Materials Project archivist
2/29/16,@MarlaAtUmass,Marla Miller,"Also, the Fri #histcomm event is being taped by local public radio & will be on the website. @Kristine_E_Hunt @nicolebelolan @rebeccaonion",704377840058441728,Twitter Web Client,1993,1647,2,5,No,11/8/09,,"A #twitterstorian interested in women, work, & #materialculture in the past; #publichistory, poetry & grad training in the present; #craft then & now."
2/29/16,@JasonSteinhauer,Jason Steinhauer,"If you love history, @UMassAmherst is where to be this week #history #publichistory #histcomm @ncph @AHAhistorians https://t.co/TWhRwWHcEP",704399624430292992,Twitter Web Client,1302,1315,4,5,No,9/17/12,"Washington, D.C.",Creating the field of History Communication. Voice of @KlugeCtr. @TIME contributor. #histcomm advocate. @UMassHistory Fellow. Tweets are my own. #history
